<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,30/01/20,18:00:00,231.5500000,232.4900000,230.5000000,231.7600000
GAZP,60,30/01/20,19:00:00,231.7600000,232.4200000,231.5000000,231.5300000
GAZP,60,31/01/20,11:00:00,232.5300000,233.7900000,231.5500000,231.8000000
GAZP,60,31/01/20,12:00:00,231.8000000,232.0800000,230.6000000,231.0000000
GAZP,60,31/01/20,13:00:00,230.9500000,231.3500000,229.3000000,230.0500000
GAZP,60,31/01/20,14:00:00,230.0500000,230.1700000,227.5500000,228.5700000
GAZP,60,31/01/20,15:00:00,228.5800000,229.0700000,226.8000000,227.1200000
GAZP,60,31/01/20,16:00:00,227.1200000,228.4300000,226.9000000,227.0700000
GAZP,60,31/01/20,17:00:00,227.1000000,227.9500000,226.9000000,227.7500000
GAZP,60,31/01/20,18:00:00,227.7500000,228.3400000,227.1200000,227.6000000
GAZP,60,31/01/20,19:00:00,227.6000000,227.7400000,226.5700000,226.7000000
GAZP,60,03/02/20,11:00:00,223.8100000,226.8700000,223.8000000,225.3700000
GAZP,60,03/02/20,12:00:00,225.4000000,226.6100000,225.0700000,226.1000000
GAZP,60,03/02/20,13:00:00,226.0900000,227.5900000,225.8100000,226.2700000
GAZP,60,03/02/20,14:00:00,226.2400000,227.4200000,226.0500000,226.4900000
GAZP,60,03/02/20,15:00:00,226.4500000,227.2300000,226.3000000,226.7400000
GAZP,60,03/02/20,16:00:00,226.7400000,226.8000000,226.1200000,226.8000000
GAZP,60,03/02/20,17:00:00,226.8000000,229.9800000,226.5000000,227.8100000
GAZP,60,03/02/20,18:00:00,227.8100000,229.3300000,227.4200000,228.8900000
GAZP,60,03/02/20,19:00:00,228.9400000,229.5900000,227.6400000,227.6400000
GAZP,60,04/02/20,11:00:00,228.4700000,229.2900000,227.0100000,227.2400000
GAZP,60,04/02/20,12:00:00,227.2400000,228.3000000,226.6500000,228.2900000
GAZP,60,04/02/20,13:00:00,228.2800000,228.5200000,227.4200000,227.7500000
GAZP,60,04/02/20,14:00:00,227.7700000,228.9000000,227.5800000,228.8600000
GAZP,60,04/02/20,15:00:00,228.8900000,229.3000000,228.5900000,228.7300000
GAZP,60,04/02/20,16:00:00,228.7400000,229.9000000,228.5000000,229.7900000
GAZP,60,04/02/20,17:00:00,229.7900000,231.0800000,229.6500000,230.4700000
GAZP,60,04/02/20,18:00:00,230.4500000,230.4800000,229.5800000,230.0400000
GAZP,60,04/02/20,19:00:00,230.0300000,230.8000000,229.9000000,230.5000000
GAZP,60,05/02/20,11:00:00,230.8900000,230.9800000,228.8000000,229.7000000
GAZP,60,05/02/20,12:00:00,229.7000000,235.1800000,229.4700000,233.4300000
GAZP,60,05/02/20,13:00:00,233.4500000,234.9900000,233.2500000,234.1500000
GAZP,60,05/02/20,14:00:00,234.1500000,234.8100000,233.8000000,234.5100000
GAZP,60,05/02/20,15:00:00,234.5700000,235.7300000,234.0300000,234.5400000
GAZP,60,05/02/20,16:00:00,234.4700000,234.9200000,234.0300000,234.3300000
GAZP,60,05/02/20,17:00:00,234.3100000,234.6600000,233.0200000,234.0100000
GAZP,60,05/02/20,18:00:00,234.0400000,234.7700000,233.5300000,234.5000000
GAZP,60,05/02/20,19:00:00,234.4900000,234.6800000,232.5600000,232.5600000
GAZP,60,06/02/20,11:00:00,234.0400000,236.0000000,233.7700000,234.8500000
GAZP,60,06/02/20,12:00:00,234.8500000,235.4400000,233.4000000,234.6600000
GAZP,60,06/02/20,13:00:00,234.6100000,234.6500000,232.7700000,233.1800000
GAZP,60,06/02/20,14:00:00,233.1600000,233.3100000,231.4100000,231.5400000
GAZP,60,06/02/20,15:00:00,231.5700000,231.9200000,231.0700000,231.7400000
GAZP,60,06/02/20,16:00:00,231.7200000,232.6000000,230.5700000,231.2600000
GAZP,60,06/02/20,17:00:00,231.2600000,231.3400000,230.3800000,230.6100000
GAZP,60,06/02/20,18:00:00,230.5500000,231.5000000,230.1500000,231.4800000
GAZP,60,06/02/20,19:00:00,231.4800000,231.9800000,230.6400000,231.3800000
GAZP,60,07/02/20,11:00:00,232.3800000,233.3900000,230.3900000,231.7300000
GAZP,60,07/02/20,12:00:00,231.6600000,232.2900000,229.5400000,229.5700000
GAZP,60,07/02/20,13:00:00,229.6000000,230.6000000,229.1500000,230.0300000
GAZP,60,07/02/20,14:00:00,230.0900000,230.2500000,227.4000000,227.4300000
GAZP,60,07/02/20,15:00:00,227.4300000,228.5600000,227.1400000,227.8500000
GAZP,60,07/02/20,16:00:00,227.8300000,228.3300000,227.6000000,227.8800000
GAZP,60,07/02/20,17:00:00,227.8800000,229.2900000,227.4900000,228.1300000
GAZP,60,07/02/20,18:00:00,228.1200000,229.0500000,227.8300000,228.2700000
GAZP,60,07/02/20,19:00:00,228.2600000,229.1500000,228.0100000,229.1100000
GAZP,60,10/02/20,11:00:00,228.5800000,229.7500000,226.8100000,228.7100000
GAZP,60,10/02/20,12:00:00,228.7100000,228.7500000,225.7100000,226.6100000
GAZP,60,10/02/20,13:00:00,226.6400000,227.3400000,225.2600000,225.9800000
GAZP,60,10/02/20,14:00:00,225.9600000,226.2600000,225.2500000,225.5000000
GAZP,60,10/02/20,15:00:00,225.5000000,226.3000000,225.1000000,225.5900000
GAZP,60,10/02/20,16:00:00,225.6500000,226.1500000,225.3500000,225.5800000
GAZP,60,10/02/20,17:00:00,225.5800000,225.8200000,224.5600000,224.7400000
GAZP,60,10/02/20,18:00:00,224.7000000,225.9500000,224.4100000,225.5500000
GAZP,60,10/02/20,19:00:00,225.5500000,226.0000000,225.2000000,225.2000000
GAZP,60,11/02/20,11:00:00,226.5600000,228.2500000,226.0100000,227.4000000
GAZP,60,11/02/20,12:00:00,227.3400000,227.3700000,226.1800000,227.0300000
GAZP,60,11/02/20,13:00:00,227.0600000,228.6300000,226.8000000,228.0700000
GAZP,60,11/02/20,14:00:00,228.0800000,228.3900000,227.5600000,228.1500000
GAZP,60,11/02/20,15:00:00,228.1300000,229.1700000,228.0500000,228.8500000
GAZP,60,11/02/20,16:00:00,228.8200000,229.8000000,228.5800000,228.8300000
GAZP,60,11/02/20,17:00:00,228.8400000,229.2000000,228.0000000,228.2300000
GAZP,60,11/02/20,18:00:00,228.2300000,236.1800000,228.0400000,233.6700000
GAZP,60,11/02/20,19:00:00,233.6700000,235.7600000,233.6400000,233.9000000
GAZP,60,12/02/20,11:00:00,235.2000000,238.9000000,234.5600000,238.4000000
GAZP,60,12/02/20,12:00:00,238.4000000,239.7400000,237.1800000,238.8900000
GAZP,60,12/02/20,13:00:00,238.8900000,239.8000000,238.6200000,239.1200000
